mRNA,SRR6408214,SRR6408215,SRR6408216
mRNA638,0,0,1
mRNA639,0,0,0
mRNA640,0,0,0
mRNA641,0,0,0
mRNA642,0,0,0
mRNA643,0,0,0
mRNA644,2199,1817,1605
mRNA645,2199,1817,1605
mRNA646,2119,1758,1458
mRNA647,2094,720,419
mRNA648,2094,720,419
mRNA649,2081,720,391
mRNA650,2094,720,419
mRNA651,0,0,0
mRNA652,0,0,0
mRNA653,0,0,0
mRNA654,0,0,0
mRNA655,0,0,0
mRNA656,0,0,0
mRNA657,0,0,0
mRNA658,320,55,256
mRNA659,320,55,256
mRNA660,91,2,38
mRNA661,15535,14895,25609
mRNA662,15535,14895,25609
mRNA663,15535,14895,25609
mRNA664,0,0,0
mRNA665,0,0,0
mRNA666,0,0,0
mRNA667,0,0,0
mRNA668,0,0,0
mRNA669,0,0,0
mRNA670,0,0,1
mRNA671,0,0,0
mRNA672,0,0,0
mRNA673,0,0,0
mRNA674,0,0,0
mRNA675,0,0,0
mRNA676,0,0,0
mRNA677,0,0,0
mRNA678,0,0,1
mRNA679,0,0,1
mRNA680,0,0,1
mRNA681,4,0,0
mRNA682,4,0,0
mRNA683,0,0,0
mRNA684,0,0,0
mRNA685,0,0,0
mRNA686,0,0,0
mRNA687,87,0,37
mRNA688,123,8,85
mRNA689,122,8,35
mRNA690,118,8,31
mRNA691,0,0,119
mRNA692,0,0,119
mRNA693,0,0,119
mRNA694,0,0,43
mRNA695,0,0,119
mRNA696,0,0,43
mRNA697,0,0,119
mRNA698,0,0,119
mRNA699,193,188,582
mRNA700,192,188,581
mRNA701,192,188,581
mRNA702,192,188,581
mRNA703,207,188,605
mRNA704,192,188,581
mRNA705,192,188,581
mRNA706,192,188,581
mRNA707,192,188,581
mRNA708,192,188,581
mRNA709,192,188,581
mRNA710,168,0,583
mRNA711,153,0,559
mRNA712,153,0,559
mRNA713,153,0,559
mRNA714,153,0,546
mRNA715,64,13,104
mRNA716,64,13,104
mRNA717,64,13,104
mRNA718,135,204,658
mRNA719,135,204,658
mRNA720,135,204,589
mRNA721,135,203,588
mRNA722,100,192,522
mRNA723,245,265,124
mRNA724,244,265,123
mRNA725,245,265,124
mRNA726,245,265,124
mRNA727,245,265,124
mRNA728,245,265,124
mRNA729,245,265,124
mRNA730,244,265,123
mRNA731,186,251,104
mRNA732,11,2,62
mRNA733,6,0,54
mRNA734,5,0,53
mRNA735,5,0,53
mRNA736,2,0,35
mRNA737,2,0,53
mRNA738,0,0,1
mRNA739,139,6,371
mRNA740,139,6,371
mRNA741,139,6,371
mRNA742,127,0,105
mRNA743,126,0,90
mRNA744,127,6,371
mRNA745,74,6,356
mRNA746,74,6,352
mRNA747,133,3,135
mRNA748,57,2,108
mRNA749,133,3,133
mRNA750,133,3,133
mRNA751,30,1,87
mRNA752,135,1091,1008
mRNA753,135,1091,1008
mRNA754,135,1091,1008
mRNA755,184,317,256
mRNA756,184,317,256
mRNA757,184,317,256
mRNA758,151,273,163
mRNA759,184,317,243
mRNA760,0,0,13
mRNA761,486,1,864
mRNA762,486,1,818
mRNA763,145,60,238
mRNA764,145,60,238
mRNA765,142,51,220
mRNA766,142,51,220
mRNA767,142,51,220
mRNA768,132,2,163
mRNA769,132,2,163
mRNA770,2,0,3
mRNA771,2,0,3
mRNA772,2,0,2
mRNA773,0,0,0
mRNA774,0,0,0
mRNA775,2,0,3
mRNA776,0,0,0
mRNA777,0,0,0
mRNA778,0,0,0
mRNA779,0,0,0
mRNA780,665,1236,318
mRNA781,665,1236,318
mRNA782,665,1236,318
mRNA783,665,1236,317
mRNA784,665,1236,317
mRNA785,665,1236,317
mRNA786,665,1236,317
mRNA787,0,0,1
mRNA788,0,0,0
mRNA789,0,0,0
mRNA790,765,1885,2323
mRNA791,493,1163,1295
mRNA792,268,0,326
mRNA793,268,0,326
mRNA794,268,0,326
mRNA795,268,0,326
mRNA796,268,0,326
mRNA797,53,295,99
mRNA798,53,230,40
mRNA799,53,230,40
mRNA800,53,230,40
mRNA801,51,230,36
mRNA802,27,42,25
mRNA803,27,42,23
mRNA804,0,0,0
mRNA805,0,0,0
mRNA806,29,481,431
mRNA807,29,481,431
mRNA808,28,481,431
mRNA809,0,1,0
mRNA810,0,0,0
mRNA811,0,0,0
mRNA812,0,0,0
mRNA813,0,0,0
mRNA814,0,0,0
mRNA815,0,1,0
mRNA816,0,1,0
mRNA817,0,0,0
mRNA818,0,0,0
mRNA819,0,0,3
mRNA820,0,0,3
mRNA821,0,0,0
mRNA822,0,0,0
mRNA823,0,0,0
mRNA824,0,0,0
mRNA825,0,0,3
mRNA826,0,0,3
mRNA827,0,0,3
mRNA828,0,0,3
mRNA829,0,0,3
mRNA830,0,0,0
mRNA831,0,0,0
mRNA832,0,0,0
